title,vote_average,genres
Her,7.862,"Romance, Science Fiction, Drama"
The Theory of Everything,7.86,"Drama, Romance"
Sunrise: A Song of Two Humans,7.858,"Drama, Romance"
Isle of Dogs,7.857,"Adventure, Comedy, Animation"
Grand Illusion,7.857,"Drama, History, War"
The Internet's Own Boy: The Story of Aaron Swartz,7.856,"Documentary, Crime"
Stand by Me,7.856,"Crime, Drama"
Joint Security Area,7.856,"War, Drama, Thriller, Action"
Blackfish,7.855,Documentary
A Bag of Marbles,7.854,"War, Drama"
One Piece: Stampede,7.854,"Animation, Action, Adventure, Family, Fantasy"
Coraline,7.854,"Animation, Family, Fantasy"
All My Life,7.852,"Romance, Drama"
A Beautiful Mind,7.851,"Drama, Romance"
The Specials,7.85,"Comedy, Drama"
El Infierno,7.85,"Drama, Crime, Comedy"
The Phantom Carriage,7.85,"Drama, Fantasy, Horror"
The Boy in the Striped Pyjamas,7.849,"War, Drama, History"
"Spring, Summer, Fall, Winter... and Spring",7.849,Drama
The Witch: Part 1. The Subversion,7.849,"Mystery, Science Fiction, Action, Adventure"
Safety Last!,7.849,"Comedy, Romance, Thriller"
Interstella 5555,7.848,"Animation, Science Fiction, Music, Adventure"
A Fistful of Dollars,7.848,Western
Kiki's Delivery Service,7.848,"Animation, Family, Fantasy, Adventure"
Downfall,7.847,"Drama, History, War"
Indiana Jones and the Last Crusade,7.847,"Adventure, Action"
Teen Titans Go! vs. Teen Titans,7.847,"Action, Animation"
The Miracle Worker,7.847,Drama
The Marquis of Grillo,7.847,Comedy
Rio Bravo,7.847,Western
Solaris,7.847,"Drama, Science Fiction, Mystery"
Knives Out,7.847,"Comedy, Crime, Mystery"
Mulholland Dr.,7.846,"Thriller, TV Movie, Drama, Mystery"
Dances with Wolves,7.846,"Adventure, Drama, Western"
La luna,7.845,"Animation, Family"
Apollo 11,7.845,"Documentary, History"
A Bronx Tale,7.843,"Drama, Crime"
The Big Lebowski,7.842,"Comedy, Crime"
Papillon,7.842,"Crime, Drama"
The Nightmare Before Christmas,7.841,"Fantasy, Animation, Family"
Luck,7.841,"Animation, Adventure, Comedy, Fantasy"
Millennium Actress,7.839,"Animation, Drama, Romance"
Anatomy of a Murder,7.837,"Crime, Drama, Mystery"
Warrior,7.837,"Drama, Action"
"Love, Rosie",7.837,"Romance, Drama, Comedy"
Dog Day Afternoon,7.836,"Crime, Drama, Thriller"
Rififi,7.836,"Crime, Thriller, Drama"
"Monsters, Inc.",7.835,"Animation, Comedy, Family"
The Best Offer,7.834,"Drama, Romance, Crime"
The Shadow in My Eye,7.834,"War, Drama, History"
Feast,7.833,"Animation, Comedy, Drama, Family"
Carlito's Way,7.833,"Crime, Drama, Romance, Thriller"
Mr. Nobody,7.832,"Science Fiction, Drama, Romance, Fantasy"
The Bridge on the River Kwai,7.83,"Drama, History, War"
Le Samouraï,7.83,"Crime, Thriller"
Don't Be Bad,7.83,"Crime, Drama"
Evangelion: 2.0 You Can (Not) Advance,7.829,"Animation, Science Fiction, Action, Drama"
Polisse,7.828,"Drama, Thriller"
Mulholland Drive,7.827,"Thriller, Drama, Mystery"
Network,7.826,Drama
A Moment to Remember,7.826,"Drama, Romance"
The Grapes of Wrath,7.825,Drama
Freaks,7.825,"Drama, Horror"
Gifted Hands: The Ben Carson Story,7.824,Drama
Finding Nemo,7.824,"Animation, Family"
Flee,7.823,"Documentary, Animation"
Belle,7.823,"Animation, Science Fiction, Family"
Everything Everywhere All at Once,7.822,"Action, Adventure, Science Fiction"
Home,7.821,Documentary
Before Sunset,7.82,"Drama, Romance"
"No Game, No Life: Zero",7.82,"Animation, Action, Drama, Romance, Fantasy, Adventure"
Infernal Affairs,7.819,"Drama, Action, Thriller, Crime, Mystery"
We Bare Bears: The Movie,7.819,"Animation, Adventure, Family, Comedy, TV Movie"
World of Tomorrow,7.818,"Animation, Drama, Science Fiction"
Ernest & Celestine,7.817,"Animation, Comedy, Drama, Family, Adventure"
Tomorrow,7.817,Documentary
Harry Potter and the Goblet of Fire,7.816,"Adventure, Fantasy"
Land of Mine,7.815,"War, Drama, History"
Spotlight,7.814,"Drama, History"
A Man Called Otto,7.814,"Comedy, Drama"
John Wick: Chapter 4,7.814,"Action, Thriller, Crime"
Guy Ritchie's The Covenant,7.814,"War, Action, Thriller"
Bajrangi Bhaijaan,7.814,"Comedy, Drama, Action"
Rosemary's Baby,7.813,"Drama, Horror, Thriller"
The Best Years of Our Lives,7.813,"Drama, Romance, War"
How to Train Your Dragon,7.813,"Fantasy, Adventure, Animation, Family"
Elite Squad: The Enemy Within,7.812,"Drama, Action, Crime"
My Life as a Zucchini,7.811,"Animation, Comedy, Drama, Family, Romance"
The Virgin Spring,7.811,Drama
RRR,7.811,"Action, Drama"
Fail Safe,7.811,"Drama, Thriller, War"
Forbidden Games,7.81,Drama
Into the Wild,7.81,"Adventure, Drama"
Ratatouille,7.809,"Animation, Comedy, Family, Fantasy"
L'Eclisse,7.807,"Romance, Drama"
Whiplash,7.807,"Drama, Music"
The Last Laugh,7.805,Drama
Paprika,7.805,"Animation, Mystery, Science Fiction, Thriller"
The Outlaws,7.804,"Action, Crime"
Through a Glass Darkly,7.802,Drama
I Saw the Devil,7.802,"Thriller, Horror"
Kagemusha,7.801,"Action, Drama, History, War"
Snatch,7.801,"Crime, Comedy"
Ip Man,7.8,"Drama, Action, History"
Logan,7.8,"Action, Drama, Science Fiction"
Fanny and Alexander,7.8,"Fantasy, Drama, Mystery"
My Little Pony: A New Generation,7.8,"Animation, Family, Fantasy, Comedy, Adventure"
Train to Busan,7.8,"Horror, Thriller, Action, Adventure"
Minha Vida em Marte,7.8,"Comedy, Romance"
Day for Night,7.8,"Comedy, Drama"
A Short Film About Love,7.8,"Drama, Romance"
Touch of Evil,7.8,"Crime, Thriller, Mystery"
One Hundred Steps,7.8,"Drama, History"
White Collar Blues,7.8,Comedy
Us Again,7.8,"Animation, Drama, Family"
The King of Comedy,7.8,"Drama, Comedy"
Z,7.8,"Thriller, History, Drama"
A Woman Under the Influence,7.8,Drama
The Perks of Being a Wallflower,7.8,Drama
Werckmeister Harmonies,7.8,Drama
Lisbela and the Prisoner,7.8,"Comedy, Romance"
Jiro Dreams of Sushi,7.8,Documentary
Rocky,7.8,"Drama, Romance"
Vivre Sa Vie,7.8,Drama
Ninja Scroll,7.8,"Fantasy, Adventure, Animation"
"The Gangster, the Cop, the Devil",7.8,"Crime, Action, Thriller"
"Miraculous: Ladybug & Cat Noir, The Movie",7.8,"Animation, Music, Family, Action, Romance, Fantasy, Comedy"
My Policeman,7.8,"Drama, Romance"
The Working Class Goes to Heaven,7.8,Drama
Sword Art Online: The Movie – Ordinal Scale,7.8,"Animation, Action, Adventure, Fantasy, Romance, Science Fiction"
Donnie Darko,7.8,"Fantasy, Drama, Mystery"
Brokeback Mountain,7.799,"Drama, Romance"
The Heist of the Century,7.799,"Comedy, Thriller, Crime"
Monty Python and the Holy Grail,7.797,"Adventure, Comedy, Fantasy"
3-Iron,7.796,"Drama, Romance, Crime"
Midnight Sun,7.795,"Romance, Drama"
The Normal Heart,7.795,Drama
Pirates of the Caribbean: The Curse of the Black Pearl,7.794,"Adventure, Fantasy, Action"
Partly Cloudy,7.794,"Animation, Family, Comedy"
Tetris,7.793,"Thriller, History, Drama"
Letter from an Unknown Woman,7.793,"Drama, Romance"
Toy Story 3,7.792,"Animation, Family, Comedy"
The Man Who Shot Liberty Valance,7.791,Western
I'm No Longer Here,7.789,Drama
Dune,7.789,"Science Fiction, Adventure"
Never Look Away,7.789,"Drama, Romance"
The Dinner Game,7.788,Comedy
Tod@s Caen,7.788,Comedy
Close,7.787,Drama
Hustle,7.787,"Drama, Comedy"
Porco Rosso,7.787,"Family, Comedy, Animation, Adventure"
Straight Outta Compton,7.785,"Drama, Music, History"
Monsieur Verdoux,7.785,"Comedy, Crime, Drama"
L.A. Confidential,7.785,"Crime, Mystery, Thriller"
Presto,7.784,"Animation, Family, Comedy"
Crooks in Clover,7.784,"Action, Comedy, Crime"
War Room,7.782,"Drama, Romance"
Fantastic Mr. Fox,7.782,"Adventure, Animation, Comedy, Family"
The Wind Rises,7.781,"Drama, Animation, War"
Mustang,7.78,Drama
No Manches Frida,7.78,Comedy
Back to the Outback,7.779,"Animation, Family, Adventure, Comedy"
The Girl Who Leapt Through Time,7.779,"Fantasy, Animation, Drama, Science Fiction"
Dogville,7.778,"Crime, Drama, Thriller"
Hiroshima Mon Amour,7.777,"Drama, History, Romance"
The Dark Knight Rises,7.777,"Action, Crime, Drama, Thriller"
The Chaser,7.775,"Crime, Thriller, Action"
The Super Mario Bros. Movie,7.775,"Animation, Family, Adventure, Fantasy, Comedy"
Die Hard,7.775,"Action, Thriller"
The King of Kong: A Fistful of Quarters,7.773,Documentary
The Untouchables,7.77,"Crime, Drama, History, Thriller"
Amour,7.769,"Drama, Romance"
Wings of Desire,7.768,"Drama, Fantasy, Romance"
Deep Red,7.768,"Horror, Mystery, Thriller"
Marriage Italian Style,7.767,"Drama, Comedy, Romance"
Scent of a Woman,7.767,Drama
Short Term 12,7.766,Drama
The Wrong Trousers,7.765,"Animation, Comedy, Family"
Underground,7.764,"Comedy, Drama, War"
The Turin Horse,7.763,Drama
Harry Potter and the Deathly Hallows: Part 1,7.763,"Adventure, Fantasy"
Kabhi Khushi Kabhie Gham,7.762,"Comedy, Drama"
Prey,7.762,"Thriller, Action, Science Fiction"
Notorious,7.762,"Thriller, Romance, Mystery"
Big Fish,7.761,"Adventure, Fantasy, Drama"
Red Shoes and the Seven Dwarfs,7.761,"Animation, Romance, Family, Comedy, Fantasy"
How to Train Your Dragon: The Hidden World,7.761,"Animation, Family, Adventure"
Honor Society,7.759,Comedy
They Shall Not Grow Old,7.759,"Documentary, History, War"
Girl in the Basement,7.759,"Crime, Thriller, TV Movie"
The Last: Naruto the Movie,7.758,"Action, Romance, Animation"
Nine Queens,7.758,"Crime, Thriller"
Citizenfour,7.758,Documentary
Pan's Labyrinth,7.757,"Fantasy, Drama, War"
Descendants 3,7.757,"Family, TV Movie, Music, Adventure, Fantasy"
Elemental,7.757,"Animation, Comedy, Family, Fantasy, Romance"
All Quiet on the Western Front,7.756,"Drama, War"
Rain Man,7.756,Drama
Do the Right Thing,7.756,Drama
Nothing Left to Do but Cry,7.756,Comedy
God's Own Country,7.755,"Romance, Drama"
The Ten Commandments,7.754,"Drama, History"
Marriage Story,7.753,Drama
Awakenings,7.753,Drama
Three Steps Above Heaven,7.753,"Romance, Drama"
Misery,7.752,"Drama, Thriller"
Rurouni Kenshin: The Final,7.752,"Action, Adventure"
Back to the Future Part II,7.752,"Adventure, Comedy, Science Fiction"
The Breakfast Club,7.751,"Comedy, Drama"
Life of Brian,7.751,Comedy
Annie Hall,7.751,"Comedy, Drama, Romance"
Batman: Under the Red Hood,7.75,"Science Fiction, Crime, Action, Animation, Mystery"
Manhattan,7.75,"Comedy, Drama, Romance"
Two Is a Family,7.749,"Drama, Comedy"
The Woman King,7.749,"Action, Drama, History"
All Quiet on the Western Front,7.749,"Drama, War"
Zootopia,7.748,"Animation, Adventure, Family, Comedy"
"I, Daniel Blake",7.747,Drama
Platoon,7.747,"Drama, War, Action"
The Color Purple,7.747,"Drama, History"
Mystic River,7.746,"Thriller, Crime, Drama, Mystery"
Who's Afraid of Virginia Woolf?,7.746,Drama
The King and the Mockingbird,7.746,"Animation, Family, Fantasy"
The Hateful Eight,7.746,"Drama, Mystery, Western"
PlayTime,7.744,Comedy
Shelter,7.744,"Drama, Romance"
Constantine: City of Demons - The Movie,7.743,"Fantasy, Animation, Horror, Action"
A Movie of Eggs,7.742,"Animation, Comedy, Family"
Ponyo,7.741,"Animation, Fantasy, Family"
Marcel the Shell with Shoes On,7.74,"Animation, Comedy, Drama, Family"
Mission: Impossible - Dead Reckoning Part One,7.74,"Action, Thriller"
Sound of Metal,7.74,"Drama, Music"
The King's Speech,7.74,"Drama, History"
A Walk to Remember,7.74,"Drama, Romance"
The Seven Deadly Sins: Cursed by Light,7.738,"Animation, Fantasy"
Big Hero 6,7.738,"Adventure, Family, Animation, Action, Comedy"
The Twilight Samurai,7.738,"Drama, Romance, History"
Drishyam,7.738,"Crime, Drama, Thriller, Mystery"
I Am Not Your Negro,7.737,Documentary
If Anything Happens I Love You,7.737,"Drama, Animation"
The Blues Brothers,7.737,"Music, Comedy, Action, Crime"
Rich in Love,7.737,"Romance, Comedy"
"Batman: The Dark Knight Returns, Part 1",7.737,"Science Fiction, Action, Animation, Mystery"
Beauty and the Beast,7.734,"Romance, Family, Animation, Fantasy"
Slumdog Millionaire,7.734,"Drama, Romance"
Fallen Angels,7.733,"Action, Romance, Crime"
Mother,7.733,"Crime, Drama, Mystery, Thriller"
Shrek,7.73,"Animation, Comedy, Fantasy, Adventure, Family"
Teen Titans: Trouble in Tokyo,7.73,"Animation, Action, Science Fiction, TV Movie"
Pride,7.729,"Drama, Comedy"
Selena,7.729,"Drama, Music, History"
The Maltese Falcon,7.728,"Mystery, Crime, Thriller"
Ali: Fear Eats the Soul,7.728,"Romance, Drama"
Magnolia,7.727,Drama
The Trial of the Chicago 7,7.727,"Drama, History"
Onward,7.726,"Family, Animation, Adventure, Comedy, Fantasy"
Philadelphia,7.725,Drama
Inherit the Wind,7.725,Drama
The Searchers,7.723,Western
Instructions Not Included,7.723,"Comedy, Drama"
The Fabelmans,7.723,Drama
BPM (Beats per Minute),7.723,Drama
The Straight Story,7.722,Drama
Boys,7.722,"Drama, Romance"
Harry Potter and the Chamber of Secrets,7.721,"Adventure, Fantasy"
Maudie,7.72,"Drama, Romance"
Holding the Man,7.72,Drama
The Exorcist,7.72,Horror
The Sacrifice,7.719,Drama
Divines,7.719,Drama
Hotel Rwanda,7.718,"Drama, History, War"
King Richard,7.717,"Drama, History"
The Red Balloon,7.717,"Comedy, Drama, Family, Fantasy"
A Matter of Life and Death,7.716,"Comedy, Fantasy, Romance, Drama"
Aftersun,7.716,Drama
Edward Scissorhands,7.716,"Fantasy, Drama, Romance"
Azur & Asmar: The Princes' Quest,7.714,"Animation, Family"
My Mom Is a Character,7.714,Comedy
The Chorus,7.713,Drama
"Germany, Year Zero",7.713,Drama
Day & Night,7.712,"Animation, Family"
The Avengers,7.71,"Science Fiction, Action, Adventure"
My Friends Act II,7.71,Comedy
The Thin Blue Line,7.709,"Crime, Documentary"
The Celebration,7.709,Drama
PK,7.708,"Comedy, Drama, Adventure, Science Fiction"
Rush,7.708,"Drama, Action"
Stalag 17,7.707,"Comedy, War, Mystery, Drama"
"tick, tick... BOOM!",7.707,"Drama, Music"
Scooby-Doo on Zombie Island,7.706,"Animation, Mystery, Family, Horror"
Ricky Gervais: Humanity,7.706,Comedy
Brief Encounter,7.705,"Drama, Romance"
The Batman,7.705,"Crime, Mystery, Thriller"
The Hustler,7.704,"Drama, Romance"
Rurouni Kenshin Part III: The Legend Ends,7.704,"Action, Adventure, Drama, Fantasy"
The Incredibles,7.704,"Action, Adventure, Animation, Family"
Inside Job,7.704,Documentary
The Eight Mountains,7.703,Drama
Time of the Gypsies,7.703,"Drama, Comedy, Crime, Fantasy"
Nightcrawler,7.703,"Crime, Drama, Thriller"
Waltz with Bashir,7.703,"Drama, Animation, War, Documentary"
The Kissing Booth 2,7.703,"Comedy, Romance"
Batman Begins,7.701,"Action, Crime, Drama"
The Black Phone,7.701,"Horror, Thriller"
Angel's Egg,7.7,"Animation, Fantasy, Mystery"
Fabricated City,7.7,"Action, Thriller, Crime"
"Duck, You Sucker",7.7,Western
Accattone,7.7,Drama
Nosferatu,7.7,"Fantasy, Horror"
Cobain: Montage of Heck,7.7,"Documentary, Music"
The Children's Hour,7.7,Drama
Charade,7.7,"Comedy, Mystery, Romance"
The Big Heat,7.7,"Crime, Thriller"
Mortal Kombat Legends: Battle of the Realms,7.7,"Animation, Action, Fantasy"
Entergalactic,7.7,"Animation, Comedy, Romance"
White Snake,7.7,"Romance, Animation, Fantasy"
The Sound of Music,7.7,"Drama, Family, Music, Romance"
Still Walking,7.7,"Drama, Family"
Cool Hand Luke,7.7,"Crime, Drama"
Cowboy Bebop: The Movie,7.7,"Action, Animation, Science Fiction"
High Noon,7.7,"Western, Drama"
The Man from Nowhere,7.7,"Action, Thriller, Crime"
Temple Grandin,7.7,"Drama, History"
Sniper: The White Raven,7.7,"War, Action, Drama"
All About My Mother,7.7,"Comedy, Drama"
The Ox-Bow Incident,7.7,"Western, Drama"
Laurence Anyways,7.7,"Drama, Romance"
Kwaidan,7.699,"Fantasy, Horror, Drama"
The Traitor,7.698,"Drama, Crime, Thriller"
Spirit: Stallion of the Cimarron,7.698,"Animation, Adventure, Comedy, Family, Drama"
The Conformist,7.698,Drama
Harry Potter and the Half-Blood Prince,7.697,"Adventure, Fantasy"
The Broken Circle Breakdown,7.695,Drama
Cléo from 5 to 7,7.693,Drama
Free Fall,7.693,"Drama, Romance"
Persian Lessons,7.692,"War, Drama"
Cowspiracy: The Sustainability Secret,7.692,Documentary
The Blind Side,7.692,Drama
Jean de Florette,7.691,Drama
Kind Hearts and Coronets,7.691,"Comedy, Drama, Crime"
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,7.69,"Animation, Fantasy, Adventure"
Moonrise Kingdom,7.69,"Comedy, Drama, Romance"
Fried Green Tomatoes,7.689,"Drama, Comedy"
The Act of Killing,7.689,Documentary
Onibaba,7.689,"Horror, Drama"
Hunt for the Wilderpeople,7.689,"Adventure, Comedy, Drama"
Before the Flood,7.689,Documentary
Don't Blame the Kid,7.687,"Comedy, Romance"
The Bridges of Madison County,7.687,"Drama, Romance"
The Fallout,7.687,Drama
Geri's Game,7.687,"Animation, Family"
The Spirit of the Beehive,7.686,"Drama, Fantasy"
Fiddler on the Roof,7.686,"Drama, Romance"
Harry Potter and the Order of the Phoenix,7.686,"Adventure, Fantasy"
"Black Cat, White Cat",7.685,"Comedy, Romance, Crime"
Bad Seeds,7.685,Comedy
A Charlie Brown Christmas,7.684,"Animation, Family, Comedy, TV Movie"
Harvey,7.683,"Comedy, Fantasy"
Fireworks,7.682,"Crime, Drama"
Bacurau,7.682,"Mystery, Western, Thriller"
Father There Is Only One,7.682,Comedy
Strangers on a Train,7.681,"Crime, Thriller"
The Edge of Democracy,7.681,Documentary
Sleuth,7.68,"Mystery, Thriller, Crime, Comedy"
Meshes of the Afternoon,7.679,Horror
Tangerines,7.679,"Drama, War"
The Gentlemen,7.678,"Comedy, Crime"
The Martian,7.678,"Drama, Adventure, Science Fiction"
Lucky and Zorba,7.678,"Family, Animation"
Little Miss Sunshine,7.677,"Comedy, Drama"
Breakfast at Tiffany's,7.676,"Comedy, Romance, Drama"
Three Colors: Blue,7.676,Drama
Icarus,7.675,Documentary
The Big Bad Fox and Other Tales,7.675,"Family, Animation, Comedy"
The Greatest Beer Run Ever,7.675,"Drama, Comedy, War, History"
The Warriors,7.675,"Action, Thriller"
Fantastic Planet,7.675,"Animation, Science Fiction"
The Princess Bride,7.674,"Adventure, Family, Fantasy, Comedy, Romance"
The Killing,7.673,"Crime, Thriller"
System Crasher,7.673,Drama
Brazil,7.673,"Comedy, Science Fiction"
All the Bright Places,7.673,"Romance, Drama"
Memoirs of a Geisha,7.673,"Drama, Romance, History"
How to Train Your Dragon 2,7.673,"Fantasy, Action, Adventure, Animation, Comedy, Family"
Black Swan,7.672,"Drama, Thriller, Horror"
The Leopard,7.672,Drama
Mississippi Burning,7.672,"Drama, Crime"
Captain America: The Winter Soldier,7.671,"Action, Adventure, Science Fiction"
A Frozen Rooster,7.67,"Animation, Adventure, Comedy, Family"
In the Heat of the Night,7.669,"Crime, Drama, Mystery, Thriller"
Faces Places,7.669,Documentary
Wrath of Man,7.669,"Crime, Thriller, Action"
Hair Love,7.669,"Animation, Family, Comedy"
Sweet Smell of Success,7.668,Drama
What's Eating Gilbert Grape,7.667,"Romance, Drama"
Viridiana,7.667,Drama
Roma,7.666,Drama
Embrace of the Serpent,7.666,"Drama, Adventure"
All the President's Men,7.664,"Drama, History, Mystery, Thriller"
"They Shoot Horses, Don't They?",7.663,Drama
White Heat,7.663,"Crime, Drama, Thriller"
Cast Away,7.662,"Adventure, Drama"
Balkan Line,7.662,"Drama, Action, War"
The Tenant,7.661,"Thriller, Horror, Mystery"
Stand and Deliver,7.661,Drama
Godzilla vs. Kong,7.661,"Action, Science Fiction, Thriller"
Corpus Christi,7.66,Drama
Knockin' on Heaven's Door,7.66,"Comedy, Crime"
Dreams,7.66,"Fantasy, Drama"
Stagecoach,7.66,"Western, Adventure"
For Love and Gold,7.659,"Adventure, Comedy"
The Young Girls of Rochefort,7.659,"Romance, Comedy, Drama"
Jaws,7.659,"Horror, Thriller, Adventure"
Another Round,7.658,"Comedy, Drama"
Barbie in The 12 Dancing Princesses,7.657,"Animation, Family"
The Sicilian Clan,7.657,Crime
The Philadelphia Story,7.655,"Comedy, Romance"
My Mom Is a Character 2,7.655,Comedy
I Vitelloni,7.654,"Comedy, Drama"
"Like Father, Like Son",7.654,Drama
Avatar: The Way of Water,7.654,"Science Fiction, Adventure, Action"
Trollhunters: Rise of the Titans,7.653,"Animation, Fantasy, Family, Action, Adventure"
Laura,7.653,"Drama, Mystery"
The Lost Weekend,7.652,Drama
Primal Fear,7.652,"Crime, Drama, Mystery, Thriller"
Ask Me If I Am Happy,7.652,Comedy
Atonement,7.652,"Drama, Romance"
Il Divo,7.65,Drama
The Graduate,7.649,"Comedy, Drama, Romance"
A Streetcar Named Desire,7.649,Drama
Eddie Murphy: Delirious,7.648,"Comedy, TV Movie"
Hidden Kisses,7.646,Drama
The Terminator,7.646,"Action, Thriller, Science Fiction"
Aladdin,7.645,"Animation, Family, Adventure, Fantasy, Romance"
The Secret World of Arrietty,7.645,"Fantasy, Animation, Family"
Evangelion: 1.0 You Are (Not) Alone,7.645,"Animation, Science Fiction, Action, Drama"
Victoria,7.644,"Crime, Thriller, Romance"
Cat on a Hot Tin Roof,7.644,Drama
Lilya 4-ever,7.643,"Crime, Drama"
Berserk: The Golden Age Arc III - The Advent,7.643,"Action, Adventure, Drama, Fantasy, Animation"
Planet of the Apes,7.643,"Science Fiction, Adventure, Drama, Action"
Sword of the Stranger,7.642,"Action, Animation, History"
Rurouni Kenshin Part II: Kyoto Inferno,7.642,"Action, Adventure, Drama, Fantasy"
Andhadhun,7.642,"Crime, Thriller, Comedy"
To All the Boys I've Loved Before,7.642,"Comedy, Romance"
Winter Sleep,7.641,Drama
Battleship Potemkin,7.64,"Drama, History, War"
Kubo and the Two Strings,7.64,"Animation, Adventure, Family"
The Count of Monte Cristo,7.64,"Adventure, Drama, History"
Iron Man,7.64,"Action, Science Fiction, Adventure"
One Cut of the Dead,7.639,"Comedy, Horror"
Teen Wolf: The Movie,7.639,"Action, Fantasy, TV Movie"
Boogie Nights,7.638,Drama
Elevator to the Gallows,7.637,"Crime, Drama, Thriller"
Breakthrough,7.637,Drama
Kingsman: The Secret Service,7.636,"Crime, Comedy, Action, Adventure"
Spies in Disguise,7.635,"Animation, Action, Adventure, Comedy, Family"
Mickey's Christmas Carol,7.635,"Family, Animation"
